title,author
Middle Passage,Charles Johnson
Middlemarch (Penguin Classics),George Eliot
Middlesex: A Novel (Oprah's Book Club),Jeffrey Eugenides
Middletown (TCG Edition),Will Eno
Midnight and the Meaning of Love (The Midnight Series),Sister Souljah
Midnight (Nick Hern Books),Jacqueline Wilson
"Midnight Crossroad (A Novel of Midnight, Texas)",Charlaine Harris
Midnight in Austenland,Shannon Hale
Midnight: A Gangster Love Story (The Midnight Series),Sister Souljah
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt
